,time,open,high,low,close,volume,date
6238,1592928000000.0,9691.99,9695.0,9638.89,9640.48,6339.154691,2020-06-23 16:00:00
6239,1592942400000.0,9640.02,9660.98,9590.0,9624.89,4696.455376,2020-06-23 20:00:00
6240,1592956800000.0,9624.33,9665.0,9612.88,9651.16,3755.780641,2020-06-24 00:00:00
6241,1592971200000.0,9651.23,9670.0,9500.0,9512.82,9670.038902,2020-06-24 04:00:00
6242,1592985600000.0,9512.82,9550.0,9313.0,9331.32,15689.498231,2020-06-24 08:00:00
6243,1593000000000.0,9331.32,9430.0,9208.0,9249.93,17677.512173,2020-06-24 12:00:00
6244,1593014400000.0,9249.97,9343.02,9238.96,9299.0,8401.733976,2020-06-24 16:00:00
6245,1593028800000.0,9299.0,9328.46,9233.35,9296.49,6376.997541,2020-06-24 20:00:00
6246,1593043200000.0,9298.33,9306.82,9009.69,9100.36,14993.943992,2020-06-25 00:00:00
6247,1593057600000.0,9100.13,9198.0,9090.17,9173.48,10000.395055,2020-06-25 04:00:00
6248,1593072000000.0,9173.7,9332.94,9173.55,9255.49,9561.183007,2020-06-25 08:00:00
6249,1593086400000.0,9255.79,9269.7,9160.03,9236.77,8718.074998,2020-06-25 12:00:00
6250,1593100800000.0,9236.88,9296.69,9212.0,9287.06,5919.188136,2020-06-25 16:00:00
6251,1593115200000.0,9286.39,9340.0,9215.0,9249.49,6638.833968,2020-06-25 20:00:00
6252,1593129600000.0,9249.49,9298.0,9182.5,9246.83,5760.63731,2020-06-26 00:00:00
6253,1593144000000.0,9246.03,9272.12,9100.18,9146.09,9590.560327,2020-06-26 04:00:00
6254,1593158400000.0,9147.2,9256.75,9091.55,9189.38,10310.613076,2020-06-26 08:00:00
6255,1593172800000.0,9189.38,9232.5,9045.45,9152.01,13453.916864,2020-06-26 12:00:00
6256,1593187200000.0,9152.16,9181.61,9091.0,9166.8,6441.168234,2020-06-26 16:00:00
6257,1593201600000.0,9166.81,9218.0,9147.85,9162.21,4735.402466,2020-06-26 20:00:00
6258,1593216000000.0,9162.21,9187.15,9105.0,9160.25,4509.734912,2020-06-27 00:00:00
6259,1593230400000.0,9160.25,9196.24,9134.48,9174.25,3489.70872,2020-06-27 04:00:00
6260,1593244800000.0,9174.37,9196.0,9120.0,9159.97,5179.023186,2020-06-27 08:00:00
6261,1593259200000.0,9159.97,9178.16,9113.0,9130.76,4803.077885,2020-06-27 12:00:00
6262,1593273600000.0,9130.82,9149.49,8833.0,8938.04,16503.029395,2020-06-27 16:00:00
6263,1593288000000.0,8937.45,9099.0,8900.22,9012.0,11806.356015,2020-06-27 20:00:00
6264,1593302400000.0,9012.0,9015.0,8948.06,8971.8,2746.153419,2020-06-28 00:00:00
